DocType: Accounting Period,Period Name,期间名称
apps/erpnext/erpnext/hr/doctype/employee_benefit_application/employee_benefit_application.py +101,Employee {0} already submited an apllication {1} for the payroll period {2},员工{0}已经在工资期间{2}提交了申请{1}
DocType: Stock Entry,Material Receipt,入库
DocType: Bank Statement Transaction Entry,Submit/Reconcile Payments,提交/核销付款
DocType: Campaign,SAL-CAM-.YYYY.-,SAL-CAM-.YYYY.-
DocType: Homepage,Products,产品展示
DocType: Announcement,Instructor,讲师
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.js +95,Select Item (optional),选择物料（可选）
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.py +103,The Loyalty Program isn't valid for the selected company,积分方案对所选公司无效
DocType: Fee Schedule Student Group,Fee Schedule Student Group,费用计划班级
DocType: Student,AB+,AB +
DocType: Item,"If this item has variants,then it cannot be selected in sales orders etc.",如果此物料有多种规格(模板物料)，就不能直接在销售订单中使用，相应地需使用具体的实物料号
DocType: Lead,Next Contact By,下次联系人
DocType: Compensatory Leave Request,Compensatory Leave Request,补休（假）申请
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +334,Quantity required for Item {0} in row {1},行{1}中的物料{0}必须指定数量
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py +45,Warehouse {0} can not be deleted as quantity exists for Item {1},仓库{0}无法删除，因为产品{1}有库存量
DocType: Blanket Order,Order Type,订单类型
,Item-wise Sales Register,物料销售台帐
DocType: Asset,Gross Purchase Amount,总采购金额
apps/erpnext/erpnext/utilities/user_progress.py +39,Opening Balances,期初余额
DocType: Asset,Depreciation Method,折旧方法
DocType: Purchase Taxes and Charges,Is this Tax included in Basic Rate?,此税项是否包含在基本价格中？
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py +66,Total Target,总目标
DocType: Soil Texture,Sand Composition (%),沙成分（％）
DocType: Job Applicant,Applicant for a Job,求职申请
DocType: Production Plan Material Request,Production Plan Material Request,生产计划物料需求
DocType: Purchase Invoice,Release Date,解除冻结日期
DocType: Stock Reconciliation,Reconciliation JSON,基于JSON格式对账
apps/erpnext/erpnext/accounts/report/financial_statements.html +5,Too many columns. Export the report and print it using a spreadsheet application.,太多的列。导出报表，并使用电子表格应用程序进行打印。
DocType: Purchase Invoice Item,Batch No,批号
DocType: Marketplace Settings,Hub Seller Name,集线器卖家名称
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +27,Employee Advances,员工预付款
DocType: Selling Settings,Allow multiple Sales Orders against a Customer's Purchase Order,允许同一个客户采购订单对应多个销售订单
DocType: Student Group Instructor,Student Group Instructor,班级讲师
DocType: Grant Application,Assessment  Mark (Out of 10),评分（满分10分）
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py +61,Guardian2 Mobile No,Guardian2手机号码
apps/erpnext/erpnext/setup/doctype/company/company.py +263,Main,主
apps/erpnext/erpnext/stock/doctype/item/item.js +74,Variant,实物料号
apps/erpnext/erpnext/controllers/status_updater.py +163,"For an item {0}, quantity must be negative number",物料{0}的数量必须是负数
DocType: Naming Series,Set prefix for numbering series on your transactions,为交易设置系统流水号的前缀
DocType: Employee Attendance Tool,Employees HTML,HTML员工
apps/erpnext/erpnext/stock/doctype/item/item.py +475,Default BOM ({0}) must be active for this item or its template,该物料或其模板物料的默认物料清单状态必须是激活的
DocType: Employee,Leave Encashed?,假期已折现？
apps/erpnext/erpnext/crm/doctype/opportunity/opportunity.py +32,Opportunity From field is mandatory,机会来源是必填字段
DocType: Email Digest,Annual Expenses,年度支出
DocType: Item,Variants,实物料号
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js +1208,Make Purchase Order,创建采购订单
DocType: SMS Center,Send To,发送到
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +202,There is not enough leave balance for Leave Type {0},假期类型{0}的剩余天数不足了
DocType: Payment Reconciliation Payment,Allocated amount,已核销金额
DocType: Sales Team,Contribution to Net Total,贡献净总计
DocType: Sales Invoice Item,Customer's Item Code,客户物料编号
DocType: Stock Reconciliation,Stock Reconciliation,库存核销
DocType: Territory,Territory Name,区域名称
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +197,Work-in-Progress Warehouse is required before Submit,请指定在制品仓后再提交
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py +71,You can only have Plans with the same billing cycle in a Subscription,您只能在订阅中拥有相同结算周期的计划
DocType: Bank Statement Transaction Settings Item,Mapped Data,映射数据
DocType: Purchase Order Item,Warehouse and Reference,仓库及参考
DocType: Payroll Period Date,Payroll Period Date,工资期间日期
DocType: Supplier,Statutory info and other general information about your Supplier,供应商的注册信息和其他一般信息
DocType: Item,Serial Nos and Batches,序列号和批号
apps/erpnext/erpnext/education/report/student_batch_wise_attendance/student_batch_wise_attendance.py +42,Student Group Strength,班级出勤数量
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py +262,Against Journal Entry {0} does not have any unmatched {1} entry,会计凭证{0}没有不符合的{1}分录
apps/erpnext/erpnext/hr/doctype/staffing_plan/staffing_plan.py +113,Subsidiary companies have already planned for {1} vacancies at a budget of {2}. \				Staffing Plan for {0} should allocate more vacancies and budget for {3} than planned for its subsidiary companies,子公司已经计划{2}的预算{1}空缺。 \ {0}的人员需求计划应为其子公司分配更多空缺和预算{3}
apps/erpnext/erpnext/config/hr.py +166,Appraisals,绩效评估
apps/erpnext/erpnext/hr/doctype/training_program/training_program_dashboard.py +8,Training Events,培训
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py +210,Duplicate Serial No entered for Item {0},物料{0}的序列号重复
apps/erpnext/erpnext/config/selling.py +179,Track Leads by Lead Source.,通过线索来源进行追踪。
DocType: Shipping Rule Condition,A condition for a Shipping Rule,发货规则的一个条件
apps/erpnext/erpnext/hr/doctype/employee/employee.py +175,Please enter ,请输入
apps/erpnext/erpnext/assets/doctype/asset_maintenance/asset_maintenance.js +64,Maintenance Log,维护日志
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py +242,Please set filter based on Item or Warehouse,根据物料或仓库请设置过滤器
DocType: Packing Slip,The net weight of this package. (calculated automatically as sum of net weight of items),包裹净重。（根据包裹内物料净重自动计算）
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js +43,Make Inter Company Journal Entry,创建公司间业务会计凭证
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js +901,Discount amount cannot be greater than 100%,折扣金额不能大于100％
DocType: Opportunity,CRM-OPP-.YYYY.-,CRM-OPP-.YYYY.-
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js +26,"Number of new Cost Center, it will be included in the cost center name as a prefix",新成本中心的数量，它将作为前缀包含在成本中心名称中
DocType: Sales Order,To Deliver and Bill,待出货与开票
DocType: Student Group,Instructors,讲师
DocType: GL Entry,Credit Amount in Account Currency,科目币别贷方金额
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +624,BOM {0} must be submitted,BOM{0}未提交
apps/erpnext/erpnext/config/accounts.py +494,Share Management,股份管理
DocType: Authorization Control,Authorization Control,授权控制
apps/erpnext/erpnext/controllers/buying_controller.py +403,Row #{0}: Rejected Warehouse is mandatory against rejected Item {1},第{0}行物料{1}被拒收，其拒收仓库字段必填
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +817,Payment,付款
apps/erpnext/erpnext/controllers/stock_controller.py +96,"Warehouse {0} is not linked to any account, please mention the account in  the warehouse record or set default inventory account in company {1}.",仓库{0}未与任何科目关联，请在仓库或公司{1}主数据中设置默认库存科目。
apps/erpnext/erpnext/utilities/activation.py +81,Manage your orders,管理您的订单
DocType: Work Order Operation,Actual Time and Cost,实际时间和成本
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py +58,Material Request of maximum {0} can be made for Item {1} against Sales Order {2},销售订单{2}中物料{1}的最大物流申请量为{0}
DocType: Amazon MWS Settings,DE,DE
DocType: Crop,Crop Spacing,作物间距
DocType: Course,Course Abbreviation,当然缩写
DocType: Budget,Action if Annual Budget Exceeded on PO,超年度预算时针对采购订单的控制措施
DocType: Student Leave Application,Student Leave Application,学生请假申请
DocType: Item,Will also apply for variants,会同时应用于实物料号
apps/erpnext/erpnext/assets/doctype/asset/asset.py +288,"Asset cannot be cancelled, as it is already {0}",资产不能被取消，因为它已经是{0}
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py +31,Employee {0} on Half day on {1},员工{0}上半天{1}
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py +59,Total working hours should not be greater than max working hours {0},总工时不应超过每天最大工时{0}
apps/erpnext/erpnext/templates/pages/task_info.html +90,On,于
apps/erpnext/erpnext/config/selling.py +62,Bundle items at time of sale.,用于销售的产品组合。
DocType: Material Request Plan Item,Actual Qty,实际数量
DocType: Sales Invoice Item,References,参考
DocType: Quality Inspection Reading,Reading 10,检验结果10
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py +48,Serial nos {0} does not belongs to the location {1},序列号{0}不属于地点{1}
DocType: Item,Barcodes,条码
DocType: Hub Tracked Item,Hub Node,Hub节点
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js +78,You have entered duplicate items. Please rectify and try again.,您输入了重复的物料。请纠正然后重试。
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +117,Associate,协理
DocType: Asset Movement,Asset Movement,资产移动
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +609,Work Order {0} must be submitted,必须提交工单{0}
apps/erpnext/erpnext/accounts/page/pos/pos.js +2227,New Cart,新购物车
DocType: Taxable Salary Slab,From Amount,金额（起）
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py +44,Item {0} is not a serialized Item,物料{0}未启用序列好管理
DocType: Leave Type,Encashment,休假折现
apps/erpnext/erpnext/hr/doctype/leave_policy/leave_policy.py +16,Maximum leave allowed in the leave type {0} is {1},假期类型{0}允许的最大休假是{1}
DocType: SMS Center,Create Receiver List,创建接收人列表
DocType: Vehicle,Wheels,车轮数
DocType: Packing Slip,To Package No.,截止包裹号
DocType: Patient Relation,Family,家庭
DocType: Sales Invoice Item,Deferred Revenue Account,递延收入科目
DocType: Production Plan,Material Requests,物料需求
DocType: Warranty Claim,Issue Date,发出日期
DocType: Activity Cost,Activity Cost,作业成本
DocType: Sales Invoice Timesheet,Timesheet Detail,工时表明细
DocType: Purchase Receipt Item Supplied,Consumed Qty,已消耗数量
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +52,Telecommunications,电信
apps/erpnext/erpnext/accounts/party.py +292,Billing currency must be equal to either default company's currency or party account currency,开票(发票)货币必须等于默认公司的货币或科目币别
DocType: Packing Slip,Indicates that the package is a part of this delivery (Only Draft),该装箱单是销售出货单的一部分
DocType: Soil Texture,Loam,壤土
apps/erpnext/erpnext/controllers/accounts_controller.py +768,Row {0}: Due Date cannot be before posting date,行{0}：付款到期日不能早于记帐日
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.js +37,Make Payment Entry,创建付款分录
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.py +129,Quantity for Item {0} must be less than {1},物料{0}的数量必须小于{1}
,Sales Invoice Trends,销售发票趋势
DocType: Leave Application,Apply / Approve Leaves,申请/批准休假
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +180,Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',仅在收费模式为“基于上一行金额”或“前一行的总计”才能参考（这一）行
